planted_rho,expected_sign,sign_agreement,mean_strength,resolved_rate
+1.0,1,1.000,0.693,1.000
+0.5,1,1.000,0.508,1.000
+0.0,0,0.967,0.003,0.033
-0.5,-1,1.000,-0.497,1.000
-1.0,-1,1.000,-0.678,1.000
