shape,kind,closed_form,ratio_20000,ratio_100000,ratio_200000,standardised_mean
"(40, 5)",real,173.47,1.0054,1.0001,1.0046,-0.0029
"(64, 8)",real,486.79,1.0094,0.9987,0.9985,-0.0001
"(120, 3)",real,440.69,1.0044,1.0012,1.0012,-0.0017
"(64, 6)",complex,791.68,1.0056,0.9994,0.9995,-0.0016
"(96, 4)",complex,780.68,1.0291,1.0197,1.0088,0.0006
