event,dm,T,F_recorded,n_live,n_F_read,K_signal,contrast,coherence_z,n_kept,n_dropped,corr_raw_model,corr_rebinned_model,corr_read_model
FRB20190425A,128.2,19,16384,9760,5949,3,4.22,3.1,3,0,0.371,0.425,0.612
FRB20190106B,316.6,38,16384,11632,10972,3,1.30,4.7,2,1,0.116,0.118,0.575
FRB20190227A,394.0,38,16384,11696,10727,5,2.00,5.8,4,1,0.147,0.153,0.550
FRB20190323B,789.6,19,16384,11312,10550,1,1.41,3.4,1,0,0.153,0.157,0.520
