event,T,on_burst_lo,on_burst_hi,noise_sigma_median,model_max,model_baseline_max,corr_raw_model,corr_rebinned_model,corr_read_model,ref_noise_limited,ref_fold_ceiling,corr_raw_model_onburst,corr_read_model_onburst
FRB20190425A,19,5,8,0.1354,0.506,1.847e-30,0.373,0.427,0.609,0.439,0.9853,0.435,0.516
FRB20190106B,38,11,15,0.1419,0.242,5.863e-47,0.115,0.118,0.574,0.117,0.9967,0.289,0.530
FRB20190227A,38,9,16,0.1405,0.108,4.085e-12,0.149,0.155,0.540,0.160,0.9987,0.204,0.385
FRB20190323B,19,5,9,0.1351,0.156,3.867e-06,0.155,0.159,0.515,0.161,0.9961,0.260,0.440
mean,,,,,0.252944,0.000001,0.197952,0.214471,0.559631,0.219356,0.994194,0.297126,0.467687
