event,dm,T,F_recorded,n_live,n_F_read,K_signal,contrast,coherence_z,n_kept,n_dropped,corr_raw_model,corr_rebinned_model,corr_read_model
FRB20190425A,128.2,19,16384,9760,5949,3,4.22,3.1,3,0,0.373,0.427,0.609
FRB20190106B,316.6,38,16384,11632,10972,3,1.30,4.7,2,1,0.115,0.118,0.574
FRB20190227A,394.0,38,16384,11696,10727,5,2.00,5.8,4,1,0.149,0.155,0.540
FRB20190323B,789.6,19,16384,11312,10550,1,1.41,3.4,1,0,0.155,0.159,0.515
mean,,,,,,,,,,,0.198,0.214,0.560
